schedule_id,campus_cd,target_date,period_no,start_time,end_time,minutes,booth_cd,course_cd,student_id,tutor_id,subject_cd,create_kind,lesson_kind,how_to_kind,substitute_kind,absent_tutor_id,absent_status,tentative_status,regular_class_id,transfer_id,transfer_class_id,report_id,memo,adm_id,created_at,updated_at,deleted_at
91,11,2023/09/27,6,19:45:00,21:45:00,120,301,10600,18,106,101,0,1,0,0,,0,0,13,,,,,200,,,
92,99,2023/09/28,5,16:45:00,18:15:00,90,991,10400,4,104,103,0,1,4,0,,0,0,14,,,,,200,,,
93,02,2023/09/28,6,18:30:00,20:00:00,90,201,10100,11,105,101,0,1,0,0,,0,0,15,,,,,200,,,
94,98,2023/09/28,7,20:15:00,21:45:00,90,981,10100,15,103,107,0,1,1,0,,0,0,16,,,,,200,,,
95,01,2023/09/29,5,16:45:00,18:15:00,90,102,10200,,101,101,0,1,0,0,,0,0,17,,,,,200,,,
96,01,2023/09/29,6,18:30:00,20:00:00,90,101,10100,7,103,102,0,1,0,0,,0,0,18,,,,,200,,,
97,98,2023/09/29,7,20:15:00,21:45:00,90,981,20100,,103,101,0,1,1,0,,0,0,19,,,,,200,,,
98,02,2023/09/30,1,9:00:00,10:30:00,90,201,10100,7,105,106,0,1,0,0,,0,0,20,,,,,200,,,
99,05,2023/09/30,2,10:45:00,12:15:00,90,501,10100,8,106,102,0,1,0,0,,0,0,21,,,,,200,,,
100,99,2023/09/30,3,13:15:00,14:45:00,90,991,10400,10,104,101,0,1,4,0,,0,0,22,,,,,200,,,
101,98,2023/09/30,4,15:00:00,16:30:00,90,981,10100,9,103,106,0,1,1,0,,0,0,23,,,,,200,,,
102,01,2023/09/30,5,16:45:00,18:15:00,90,105,20100,,103,102,0,1,0,0,,0,0,24,,,,,200,,,
103,01,2023/09/30,6,18:30:00,20:00:00,90,101,10100,12,102,105,0,1,0,0,,0,0,25,,,,,200,,,
104,11,2023/09/30,6,19:45:00,21:45:00,120,301,10600,18,106,102,0,1,0,0,,0,0,26,,,,,200,,,
105,01,2023/10/02,5,16:45:00,18:15:00,90,101,10300,,101,501,0,1,0,0,,0,0,1,,,,,200,,,
106,01,2023/10/02,6,18:30:00,20:00:00,90,101,10100,7,103,101,0,1,0,0,,0,0,2,,,,,200,,,
107,01,2023/10/02,7,20:15:00,21:45:00,90,101,90100,7,,,0,0,0,0,,0,0,3,,,,,200,,,
108,01,2023/10/02,7,20:15:00,21:45:00,90,102,10100,10,102,105,0,1,0,0,,0,0,4,,,,,200,,,
109,01,2023/10/03,5,16:45:00,18:15:00,90,101,10100,6,101,103,0,1,0,0,,0,0,5,,,,,200,,,
110,01,2023/10/03,5,16:45:00,18:15:00,90,102,10100,13,104,102,0,1,0,0,,0,0,6,,,,,200,,,
111,02,2023/10/03,6,18:30:00,20:00:00,90,201,10100,8,105,101,0,1,0,0,,0,0,7,,,,,200,,,
112,02,2023/10/03,7,20:15:00,21:45:00,90,201,10100,11,105,108,0,1,0,0,,0,0,8,,,,,200,,,
113,01,2023/10/03,7,20:15:00,21:45:00,90,101,10100,10,103,115,0,1,0,0,,0,0,9,,,,,200,,,
114,01,2023/10/04,5,16:45:00,18:15:00,90,101,10100,9,101,503,0,1,0,0,,0,0,10,,,,,200,,,
115,01,2023/10/04,6,18:30:00,20:00:00,90,101,10500,9,101,503,0,1,0,0,,0,0,11,,,,,200,,,
116,02,2023/10/04,7,20:15:00,21:45:00,90,102,10100,14,105,107,0,1,0,0,,0,0,12,,,,,200,,,
117,11,2023/10/04,6,19:45:00,21:45:00,120,301,10600,18,106,101,0,1,0,0,,0,0,13,,,,,200,,,
118,99,2023/10/05,5,16:45:00,18:15:00,90,991,10400,4,104,103,0,1,4,0,,0,0,14,,,,,200,,,
119,02,2023/10/05,6,18:30:00,20:00:00,90,201,10100,11,105,101,0,1,0,0,,0,0,15,,,,,200,,,
120,98,2023/10/05,7,20:15:00,21:45:00,90,981,10100,15,103,107,0,1,1,0,,0,0,16,,,,,200,,,
121,01,2023/10/06,5,16:45:00,18:15:00,90,102,10200,,101,101,0,1,0,0,,0,0,17,,,,,200,,,
122,01,2023/10/06,6,18:30:00,20:00:00,90,101,10100,7,103,102,0,1,0,0,,0,0,18,,,,,200,,,
123,98,2023/10/06,7,20:15:00,21:45:00,90,981,20100,,103,101,0,1,1,0,,0,0,19,,,,,200,,,
124,02,2023/10/07,1,9:00:00,10:30:00,90,201,10100,7,105,106,0,1,0,0,,0,0,20,,,,,200,,,
125,05,2023/10/07,2,10:45:00,12:15:00,90,501,10100,8,106,102,0,1,0,0,,0,0,21,,,,,200,,,
126,99,2023/10/07,3,13:15:00,14:45:00,90,991,10400,10,104,101,0,1,4,0,,0,0,22,,,,,200,,,
127,98,2023/10/07,4,15:00:00,16:30:00,90,981,10100,9,103,106,0,1,1,0,,0,0,23,,,,,200,,,
128,01,2023/10/07,5,16:45:00,18:15:00,90,105,20100,,103,102,0,1,0,0,,0,0,24,,,,,200,,,
129,01,2023/10/07,6,18:30:00,20:00:00,90,101,10100,12,102,105,0,1,0,0,,0,0,25,,,,,200,,,
130,11,2023/10/07,6,19:45:00,21:45:00,120,301,10600,18,106,102,0,1,0,0,,0,0,26,,,,,200,,,
131,01,2023/10/09,5,16:45:00,18:15:00,90,101,10300,,101,501,0,1,0,0,,0,0,1,,,,,200,,,
132,01,2023/10/09,6,18:30:00,20:00:00,90,101,10100,7,103,101,0,1,0,0,,0,0,2,,,,,200,,,
133,01,2023/10/09,7,20:15:00,21:45:00,90,101,90100,7,,,0,0,0,0,,0,0,3,,,,,200,,,
134,01,2023/10/09,7,20:15:00,21:45:00,90,102,10100,10,102,105,0,1,0,0,,0,0,4,,,,,200,,,
135,01,2023/10/10,5,16:45:00,18:15:00,90,101,10100,6,101,103,0,1,0,0,,0,0,5,,,,,200,,,
136,01,2023/10/10,5,16:45:00,18:15:00,90,102,10100,13,104,102,0,1,0,0,,0,0,6,,,,,200,,,
137,02,2023/10/10,6,18:30:00,20:00:00,90,201,10100,8,105,101,0,1,0,0,,0,0,7,,,,,200,,,
138,02,2023/10/10,7,20:15:00,21:45:00,90,201,10100,11,105,108,0,1,0,0,,0,0,8,,,,,200,,,
139,01,2023/10/10,7,20:15:00,21:45:00,90,101,10100,10,103,115,0,1,0,0,,0,0,9,,,,,200,,,
140,01,2023/10/11,5,16:45:00,18:15:00,90,101,10100,9,101,503,0,1,0,0,,0,0,10,,,,,200,,,
141,01,2023/10/11,6,18:30:00,20:00:00,90,101,10500,9,101,503,0,1,0,0,,0,0,11,,,,,200,,,
142,02,2023/10/11,7,20:15:00,21:45:00,90,102,10100,14,105,107,0,1,0,0,,0,0,12,,,,,200,,,
143,11,2023/10/11,6,19:45:00,21:45:00,120,301,10600,18,106,101,0,1,0,0,,0,0,13,,,,,200,,,
144,99,2023/10/12,5,16:45:00,18:15:00,90,991,10400,4,104,103,0,1,4,0,,0,0,14,,,,,200,,,
145,02,2023/10/12,6,18:30:00,20:00:00,90,201,10100,11,105,101,0,1,0,0,,0,0,15,,,,,200,,,
146,98,2023/10/12,7,20:15:00,21:45:00,90,981,10100,15,103,107,0,1,1,0,,0,0,16,,,,,200,,,
147,01,2023/10/13,5,16:45:00,18:15:00,90,102,10200,,101,101,0,1,0,0,,0,0,17,,,,,200,,,
148,01,2023/10/13,6,18:30:00,20:00:00,90,101,10100,7,103,102,0,1,0,0,,0,0,18,,,,,200,,,
149,98,2023/10/13,7,20:15:00,21:45:00,90,981,20100,,103,101,0,1,1,0,,0,0,19,,,,,200,,,
150,02,2023/10/14,1,9:00:00,10:30:00,90,201,10100,7,105,106,0,1,0,0,,0,0,20,,,,,200,,,
151,05,2023/10/14,2,10:45:00,12:15:00,90,501,10100,8,106,102,0,1,0,0,,0,0,21,,,,,200,,,
152,99,2023/10/14,3,13:15:00,14:45:00,90,991,10400,10,104,101,0,1,4,0,,0,0,22,,,,,200,,,
153,98,2023/10/14,4,15:00:00,16:30:00,90,981,10100,9,103,106,0,1,1,0,,0,0,23,,,,,200,,,
154,01,2023/10/14,5,16:45:00,18:15:00,90,105,20100,,103,102,0,1,0,0,,0,0,24,,,,,200,,,
155,01,2023/10/14,6,18:30:00,20:00:00,90,101,10100,12,102,105,0,1,0,0,,0,0,25,,,,,200,,,
156,11,2023/10/14,6,19:45:00,21:45:00,120,301,10600,18,106,102,0,1,0,0,,0,0,26,,,,,200,,,
157,01,2023/10/16,5,16:45:00,18:15:00,90,101,10300,,101,501,0,1,0,0,,0,0,1,,,,,200,,,
158,01,2023/10/16,6,18:30:00,20:00:00,90,101,10100,7,103,101,0,1,0,0,,0,0,2,,,,,200,,,
159,01,2023/10/16,7,20:15:00,21:45:00,90,101,90100,7,,,0,0,0,0,,0,0,3,,,,,200,,,
160,01,2023/10/16,7,20:15:00,21:45:00,90,102,10100,10,102,105,0,1,0,0,,0,0,4,,,,,200,,,
161,01,2023/10/17,5,16:45:00,18:15:00,90,101,10100,6,101,103,0,1,0,0,,0,0,5,,,,,200,,,
162,01,2023/10/17,5,16:45:00,18:15:00,90,102,10100,13,104,102,0,1,0,0,,0,0,6,,,,,200,,,
163,02,2023/10/17,6,18:30:00,20:00:00,90,201,10100,8,105,101,0,1,0,0,,0,0,7,,,,,200,,,
164,02,2023/10/17,7,20:15:00,21:45:00,90,201,10100,11,105,108,0,1,0,0,,0,0,8,,,,,200,,,
165,01,2023/10/17,7,20:15:00,21:45:00,90,101,10100,10,103,115,0,1,0,0,,0,0,9,,,,,200,,,
166,01,2023/10/18,5,16:45:00,18:15:00,90,101,10100,9,101,503,0,1,0,0,,0,0,10,,,,,200,,,
167,01,2023/10/18,6,18:30:00,20:00:00,90,101,10500,9,101,503,0,1,0,0,,0,0,11,,,,,200,,,
168,02,2023/10/18,7,20:15:00,21:45:00,90,102,10100,14,105,107,0,1,0,0,,0,0,12,,,,,200,,,
169,11,2023/10/18,6,19:45:00,21:45:00,120,301,10600,18,106,101,0,1,0,0,,0,0,13,,,,,200,,,
170,99,2023/10/19,5,16:45:00,18:15:00,90,991,10400,4,104,103,0,1,4,0,,0,0,14,,,,,200,,,
171,02,2023/10/19,6,18:30:00,20:00:00,90,201,10100,11,105,101,0,1,0,0,,0,0,15,,,,,200,,,
172,98,2023/10/19,7,20:15:00,21:45:00,90,981,10100,15,103,107,0,1,1,0,,0,0,16,,,,,200,,,
173,01,2023/10/20,5,16:45:00,18:15:00,90,102,10200,,101,101,0,1,0,0,,0,0,17,,,,,200,,,
174,01,2023/10/20,6,18:30:00,20:00:00,90,101,10100,7,103,102,0,1,0,0,,0,0,18,,,,,200,,,
175,98,2023/10/20,7,20:15:00,21:45:00,90,981,20100,,103,101,0,1,1,0,,0,0,19,,,,,200,,,
176,02,2023/10/21,1,9:00:00,10:30:00,90,201,10100,7,105,106,0,1,0,0,,0,0,20,,,,,200,,,
177,05,2023/10/21,2,10:45:00,12:15:00,90,501,10100,8,106,102,0,1,0,0,,0,0,21,,,,,200,,,
178,99,2023/10/21,3,13:15:00,14:45:00,90,991,10400,10,104,101,0,1,4,0,,0,0,22,,,,,200,,,
179,98,2023/10/21,4,15:00:00,16:30:00,90,981,10100,9,103,106,0,1,1,0,,0,0,23,,,,,200,,,
180,01,2023/10/21,5,16:45:00,18:15:00,90,105,20100,,103,102,0,1,0,0,,0,0,24,,,,,200,,,
181,01,2023/10/21,6,18:30:00,20:00:00,90,101,10100,12,102,105,0,1,0,0,,0,0,25,,,,,200,,,
182,11,2023/10/21,6,19:45:00,21:45:00,120,301,10600,18,106,102,0,1,0,0,,0,0,26,,,,,200,,,
183,01,2023/10/23,5,16:45:00,18:15:00,90,101,10300,,101,501,0,1,0,0,,0,0,1,,,,,200,,,
184,01,2023/10/23,6,18:30:00,20:00:00,90,101,10100,7,103,101,0,1,0,0,,0,0,2,,,,,200,,,
185,01,2023/10/23,7,20:15:00,21:45:00,90,101,90100,7,,,0,0,0,0,,0,0,3,,,,,200,,,
186,01,2023/10/23,7,20:15:00,21:45:00,90,102,10100,10,102,105,0,1,0,0,,0,0,4,,,,,200,,,
187,01,2023/10/24,5,16:45:00,18:15:00,90,101,10100,6,101,103,0,1,0,0,,0,0,5,,,,,200,,,
188,01,2023/10/24,5,16:45:00,18:15:00,90,102,10100,13,104,102,0,1,0,0,,0,0,6,,,,,200,,,
189,02,2023/10/24,6,18:30:00,20:00:00,90,201,10100,8,105,101,0,1,0,0,,0,0,7,,,,,200,,,
190,02,2023/10/24,7,20:15:00,21:45:00,90,201,10100,11,105,108,0,1,0,0,,0,0,8,,,,,200,,,
191,01,2023/10/24,7,20:15:00,21:45:00,90,101,10100,10,103,115,0,1,0,0,,0,0,9,,,,,200,,,
192,01,2023/10/25,5,16:45:00,18:15:00,90,101,10100,9,101,503,0,1,0,0,,0,0,10,,,,,200,,,
193,01,2023/10/25,6,18:30:00,20:00:00,90,101,10500,9,101,503,0,1,0,0,,0,0,11,,,,,200,,,
194,02,2023/10/25,7,20:15:00,21:45:00,90,102,10100,14,105,107,0,1,0,0,,0,0,12,,,,,200,,,
195,11,2023/10/25,6,19:45:00,21:45:00,120,301,10600,18,106,101,0,1,0,0,,0,0,13,,,,,200,,,
196,99,2023/10/26,5,16:45:00,18:15:00,90,991,10400,4,104,103,0,1,4,0,,0,0,14,,,,,200,,,
197,02,2023/10/26,6,18:30:00,20:00:00,90,201,10100,11,105,101,0,1,0,0,,0,0,15,,,,,200,,,
198,98,2023/10/26,7,20:15:00,21:45:00,90,981,10100,15,103,107,0,1,1,0,,0,0,16,,,,,200,,,
199,01,2023/10/27,5,16:45:00,18:15:00,90,102,10200,,101,101,0,1,0,0,,0,0,17,,,,,200,,,
200,01,2023/10/27,6,18:30:00,20:00:00,90,101,10100,7,103,102,0,1,0,0,,0,0,18,,,,,200,,,
201,98,2023/10/27,7,20:15:00,21:45:00,90,981,20100,,103,101,0,1,1,0,,0,0,19,,,,,200,,,
202,02,2023/10/28,1,9:00:00,10:30:00,90,201,10100,7,105,106,0,1,0,0,,0,0,20,,,,,200,,,
203,05,2023/10/28,2,10:45:00,12:15:00,90,501,10100,8,106,102,0,1,0,0,,0,0,21,,,,,200,,,
204,99,2023/10/28,3,13:15:00,14:45:00,90,991,10400,10,104,101,0,1,4,0,,0,0,22,,,,,200,,,
205,98,2023/10/28,4,15:00:00,16:30:00,90,981,10100,9,103,106,0,1,1,0,,0,0,23,,,,,200,,,
206,01,2023/10/28,5,16:45:00,18:15:00,90,105,20100,,103,102,0,1,0,0,,0,0,24,,,,,200,,,
207,01,2023/10/28,6,18:30:00,20:00:00,90,101,10100,12,102,105,0,1,0,0,,0,0,25,,,,,200,,,
208,11,2023/10/28,6,19:45:00,21:45:00,120,301,10600,18,106,102,0,1,0,0,,0,0,26,,,,,200,,,
209,01,2023/10/30,5,16:45:00,18:15:00,90,101,10300,,101,501,0,1,0,0,,0,0,1,,,,,200,,,
210,01,2023/10/30,6,18:30:00,20:00:00,90,101,10100,7,103,101,0,1,0,0,,0,0,2,,,,,200,,,
211,01,2023/10/30,7,20:15:00,21:45:00,90,101,90100,7,,,0,0,0,0,,0,0,3,,,,,200,,,
212,01,2023/10/30,7,20:15:00,21:45:00,90,102,10100,10,102,105,0,1,0,0,,0,0,4,,,,,200,,,
213,01,2023/10/31,5,16:45:00,18:15:00,90,101,10100,6,101,103,0,1,0,0,,0,0,5,,,,,200,,,
214,01,2023/10/31,5,16:45:00,18:15:00,90,102,10100,13,104,102,0,1,0,0,,0,0,6,,,,,200,,,
215,02,2023/10/31,6,18:30:00,20:00:00,90,201,10100,8,105,101,0,1,0,0,,0,0,7,,,,,200,,,
216,02,2023/10/31,7,20:15:00,21:45:00,90,201,10100,11,105,108,0,1,0,0,,0,0,8,,,,,200,,,
217,01,2023/10/31,7,20:15:00,21:45:00,90,101,10100,10,103,115,0,1,0,0,,0,0,9,,,,,200,,,
218,01,2023/11/01,5,16:45:00,18:15:00,90,101,10100,9,101,503,0,1,0,0,,0,0,10,,,,,200,,,
219,01,2023/11/01,6,18:30:00,20:00:00,90,101,10500,9,101,503,0,1,0,0,,0,0,11,,,,,200,,,
220,02,2023/11/01,7,20:15:00,21:45:00,90,102,10100,14,105,107,0,1,0,0,,0,0,12,,,,,200,,,
221,11,2023/11/01,6,19:45:00,21:45:00,120,301,10600,18,106,101,0,1,0,0,,0,0,13,,,,,200,,,
