"unit_category_cd","grade_cd","t_subject_cd","name","created_at","updated_at","deleted_at"
"1210199",12,"101","その他",,,
"1210201",12,"102","複素数平面",,,
"1210202",12,"102","式と曲線",,,
"1210203",12,"102","関数",,,
"1210204",12,"102","極限",,,
"1210205",12,"102","微分法",,,
"1210206",12,"102","微分法の応用",,,
"1210207",12,"102","積分法",,,
"1210208",12,"102","積分法の応用",,,
"1210299",12,"102","その他",,,
"1210401",12,"104","文章読解",,,
"1210402",12,"104","詩・俳句・短歌",,,
"1210403",12,"104","漢字・語彙・文法",,,
"1210499",12,"104","その他",,,
"1210501",12,"105","古文読解",,,
"1210502",12,"105","和歌",,,
"1210503",12,"105","動詞・形容詞・形容動詞",,,
"1210504",12,"105","助動詞",,,
"1210505",12,"105","助詞",,,
"1210506",12,"105","敬語",,,
"1210507",12,"105","識別",,,
"1210508",12,"105","単語・語彙・古文常識",,,
"1210509",12,"105","漢文・漢詩",,,
"1210510",12,"105","漢文の基礎知識",,,
"1210511",12,"105","漢字",,,
"1210599",12,"105","その他",,,
"1210701",12,"107","物質の構成",,,
"1210702",12,"107","物質の変化",,,
"1210703",12,"107","物質の状態",,,
"1210704",12,"107","物質の変化と平衡",,,
"1210705",12,"107","無機物質",,,
"1210706",12,"107","有機化合物",,,
"1210707",12,"107","高分子化合物",,,
"1210799",12,"107","その他",,,
"1210801",12,"108","力学",,,
"1210802",12,"108","熱力学",,,
"1210803",12,"108","波動",,,
"1210804",12,"108","電気",,,
"1210805",12,"108","磁気",,,
"1210806",12,"108","原子",,,
"1210899",12,"108","その他",,,
"1210901",11,"109","生物と遺伝子",,,
"1210902",11,"109","生物の体内環境の維持",,,
"1210903",11,"109","生物の多様性と生態系",,,
"1210904",11,"109","生命現象と物質",,,
"1210905",11,"109","生殖と発生",,,
"1210906",11,"109","生物の環境応答",,,
"1210907",11,"109","生態と環境",,,
"1210908",11,"109","生物の進化と系統",,,
"1210999",12,"109","その他",,,
"1211201",12,"112","先史の世界",,,
"1211202",12,"112","オリエントと地中海世界",,,
"1211203",12,"112","アジア・アメリカの古代文明",,,
"1211204",12,"112","内陸アジア世界・東アジア世界の形成",,,
"1211205",12,"112","イスラーム世界の形成と発展",,,
"1211206",12,"112","ヨーロッパ世界の形成と発展",,,
"1211207",12,"112","内陸アジア世界・東アジア世界の展開",,,
"1211208",12,"112","アジア諸地域の繁栄",,,
"1211209",12,"112","近世ヨーロッパ世界の形成",,,
"1211210",12,"112","近世ヨーロッパ世界の展開",,,
"1211211",12,"112","近代ヨーロッパ・アメリカ世界の成立",,,
"1211212",12,"112","欧米における近代国民国家の発展",,,
"1211213",12,"112","アジア諸地域の動揺",,,
"1211214",12,"112","帝国主義とアジアの民族運動",,,
"1211215",12,"112","二つの世界大戦",,,
"1211216",12,"112","冷戦と第三世界の独立",,,
"1211217",12,"112","現在の世界",,,
"1211299",12,"112","その他",,,
"1211301",12,"113","日本文化のあけぼの",,,
"1211302",12,"113","律令国家の形成",,,
"1211303",12,"113","貴族政治と国風文化",,,
"1211304",12,"113","中世社会の成立",,,
"1211305",12,"113","武家社会の成長",,,
"1211306",12,"113","幕藩体制の確立",,,
"1211307",12,"113","幕藩体制の展開",,,
"1211308",12,"113","幕藩体制の動揺",,,
"1211309",12,"113","近代国家の成立",,,
"1211310",12,"113","二つの世界大戦とアジア",,,
"1211311",12,"113","占領下の日本",,,
"1211312",12,"113","高度成長の時代",,,
"1211313",12,"113","激動する世界と日本",,,
"1211399",12,"113","その他",,,
"1211401",12,"114","地図と地理情報",,,
"1211402",12,"114","系統地理",,,
"1211403",12,"114","地誌",,,
"1211404",12,"114","アジア",,,
"1211405",12,"114","アフリカ",,,
"1211406",12,"114","ヨーロッパ・ロシアと周辺諸国",,,
"1211407",12,"114","アングロアメリカ",,,
"1211408",12,"114","ラテンアメリカ",,,
"1211409",12,"114","オセアニア",,,
"1211410",12,"114","日本",,,
"1211411",12,"114","地理情報と地図",,,
"1211412",12,"114","自然環境",,,
"1211413",12,"114","資源・産業",,,
"1211414",12,"114","生活と文化",,,
"1211415",12,"114","グローバル化する現代社会",,,
"1211499",12,"114","その他",,,
